Date,Time,Flight Number,Airlines Name,Airport Name,Terminal,Boarding info,Status
04/04/2024,00:05,5J803,Cebu Pacific Air,Manila (MNL),T4,,On Schedule
04/04/2024,00:10,MH609,Malaysia Airlines,Kuala Lumpur (KUL),T2,,On Schedule
04/04/2024,00:15,SQ208,Singapore Airlines,Melbourne (MEL),,,On Schedule
04/04/2024,00:20,3K538,Jetstar Asia,Phuket (HKT),T4,,On Schedule
04/04/2024,00:20,JL711,Japan Airlines,Tokyo (Narita) (NRT),T1,,On Schedule
04/04/2024,00:20,SQ242,Singapore Airlines,Sydney (SYD),,,On Schedule
04/04/2024,00:20,SQ947,Singapore Airlines,Bali-Denpasar (DPS),,,On Schedule
04/04/2024,00:25,5J547,Cebu Pacific Air,Cebu (CEB),T4,,On Schedule
04/04/2024,00:30,SQ835,Singapore Airlines,Shanghai (PVG),,,On Schedule
04/04/2024,00:35,CX715,Cathay Pacific,Hong Kong (HKG),T4,,On Schedule
04/04/2024,00:35,SQ719,Singapore Airlines,Bangkok (Suvarnabhumi) (BKK),,,On Schedule
04/04/2024,00:40,CI755,China Airlines,Taipei (TPE),T3,,On Schedule
04/04/2024,00:40,TR973,Scoot,Hong Kong (HKG),T1,,On Schedule
04/04/2024,00:45,3K514,Jetstar Asia,Bangkok (Suvarnabhumi) (BKK),T4,,On Schedule
04/04/2024,00:45,NH801,All Nippon Airways,Tokyo (Narita) (NRT),T2,,On Schedule
04/04/2024,00:45,TW171,T'way Air,Seoul (ICN),T3,,On Schedule
04/04/2024,01:00,TR113,Scoot,Nanchang (KHN),T1,,On Schedule
04/04/2024,01:15,SQ11,Singapore Airlines,Los Angeles (LAX),,,On Schedule
04/04/2024,01:20,3K766,Jetstar Asia,Manila (MNL),T4,,On Schedule
04/04/2024,01:45,6E1007,IndiGo,Tiruchirappalli (TRZ),T2,,On Schedule
04/04/2024,01:55,MU2669,China Eastern Airlines,Nanjing (NKG),T3,,On Schedule
04/04/2024,02:50,TK169,Turkish Airlines,Melbourne (MEL),T1,,On Schedule
04/04/2024,02:50,TR387,Scoot,Clark (CRK),T1,,On Schedule
04/04/2024,03:05,CZ8489,China Southern Airlines,Guangzhou (CAN),T1,,On Schedule
04/04/2024,03:15,6E1015,IndiGo,Kolkata (CCU),T2,,On Schedule
04/04/2024,03:15,TR17,Scoot,Perth (PER),T1,,On Schedule
04/04/2024,03:40,6E1001,IndiGo,Chennai (MAA),T2,,On Schedule
04/04/2024,03:45,TR189,Scoot,Hangzhou (HGH),T1,,On Schedule
04/04/2024,04:05,TR513,Scoot,Amritsar (ATQ),T1,,On Schedule
04/04/2024,04:30,6E1005,IndiGo,Bengaluru (BLR),T2,,On Schedule
04/04/2024,04:40,BS307,US-Bangla Airlines,Dhaka (DAC),T3,,On Schedule
04/04/2024,04:40,SQ623,Singapore Airlines,Osaka (KIX),,,On Schedule
04/04/2024,04:55,SQ635,Singapore Airlines,Tokyo (Haneda) (HND),,,On Schedule
04/04/2024,05:00,KE647,Korean Air,Seoul (ICN),T4,,On Schedule
04/04/2024,05:00,SQ391,Singapore Airlines,Istanbul (IST),,,On Schedule
04/04/2024,05:05,SQ605,Singapore Airlines,Seoul (ICN),,,On Schedule
04/04/2024,05:20,FJ363,Fiji Airways,Nadi (NAN),T1,,On Schedule
04/04/2024,05:25,MU543,China Eastern Airlines,Shanghai (PVG),T3,,On Schedule
04/04/2024,05:30,CX659,Cathay Pacific,Hong Kong (HKG),T4,,On Schedule
04/04/2024,05:30,SQ218,Singapore Airlines,Melbourne (MEL),,,On Schedule
04/04/2024,05:30,SQ23,Singapore Airlines,New York (John F Kennedy) (JFK),,,Confirmed 05:30
04/04/2024,05:30,SQ305,Singapore Airlines,London (Heathrow) (LHR),,,On Schedule
04/04/2024,05:40,SQ33,Singapore Airlines,San Francisco (SFO),,,Confirmed 05:33
04/04/2024,05:45,SQ246,Singapore Airlines,Brisbane (BNE),,,On Schedule
04/04/2024,05:55,SQ323,Singapore Airlines,Amsterdam (AMS),,,On Schedule
04/04/2024,05:55,SQ345,Singapore Airlines,Zurich (ZRH),,,On Schedule
04/04/2024,05:55,SQ825,Singapore Airlines,Shanghai (PVG),,,On Schedule
04/04/2024,06:00,SQ365,Singapore Airlines,Rome (FCO),,,On Schedule
04/04/2024,06:00,TR897,Scoot,Seoul (ICN),T1,,On Schedule
04/04/2024,06:05,SQ335,Singapore Airlines,Paris (CDG),,,On Schedule
04/04/2024,06:05,SQ447,Singapore Airlines,Dhaka (DAC),,,On Schedule
04/04/2024,06:05,SQ535,Singapore Airlines,Kochi (COK),,,On Schedule
04/04/2024,06:10,SQ403,Singapore Airlines,New Delhi (DEL),,,On Schedule
04/04/2024,06:10,SQ479,Singapore Airlines,Cape Town (CPT),,,On Schedule
04/04/2024,06:10,SQ511,Singapore Airlines,Bengaluru (BLR),,,On Schedule
04/04/2024,06:10,SQ523,Singapore Airlines,Hyderabad (HYD),,,On Schedule
04/04/2024,06:10,SQ529,Singapore Airlines,Chennai (MAA),,,On Schedule
04/04/2024,06:15,JL35,Japan Airlines,Tokyo (Haneda) (HND),T1,,On Schedule
04/04/2024,06:15,TR531,Scoot,Trivandrum (TRV),T1,,On Schedule
04/04/2024,06:20,SQ517,Singapore Airlines,Kolkata (CCU),,,On Schedule
04/04/2024,06:20,SQ801,Singapore Airlines,Beijing (Capital) (PEK),,,On Schedule
04/04/2024,06:20,TR121,Scoot,Wuhan (WUH),T1,,On Schedule
04/04/2024,06:25,SQ351,Singapore Airlines,Copenhagen (CPH),,,On Schedule
04/04/2024,06:25,TR587,Scoot,Visakhapatnam (VTZ),T1,,On Schedule
04/04/2024,06:30,CA975,Air China,Beijing (Capital) (PEK),T1,,On Schedule
04/04/2024,06:30,SQ441,Singapore Airlines,Kathmandu (KTM),,,On Schedule
04/04/2024,06:30,SQ853,Singapore Airlines,Guangzhou (CAN),,,On Schedule
04/04/2024,06:35,SQ216,Singapore Airlines,Perth (PER),,,On Schedule
04/04/2024,06:35,TR541,Scoot,Coimbatore (CJB),T1,,On Schedule
04/04/2024,06:40,NH843,All Nippon Airways,Tokyo (Haneda) (HND),T2,,On Schedule
04/04/2024,06:40,NZ282,Air New Zealand,Auckland (AKL),T3,,On Schedule
04/04/2024,06:45,UA1,United Airlines,San Francisco (SFO),T2,,On Schedule
04/04/2024,06:50,SQ25,Singapore Airlines,New York (John F Kennedy) (JFK),,,On Schedule
04/04/2024,06:55,TR565,Scoot,Tiruchirappalli (TRZ),T1,,On Schedule
04/04/2024,07:00,SQ327,Singapore Airlines,Munich (MUC),,,On Schedule
04/04/2024,07:05,SQ437,Singapore Airlines,Male (MLE),,,On Schedule
04/04/2024,07:10,AC19,AIR CANADA,Vancouver (YVR),T2,,Confirmed 07:09
04/04/2024,07:15,AK701,AirAsia,Kuala Lumpur (KUL),T4,,On Schedule
04/04/2024,07:15,SB740,Aircalin,Noumea (NOU),T3,,On Schedule
04/04/2024,07:20,SQ377,Singapore Airlines,Barcelona (BCN),,,On Schedule
04/04/2024,07:20,SQ469,Singapore Airlines,Colombo (CMB),,,On Schedule
04/04/2024,07:25,SQ861,Singapore Airlines,Shenzhen (SZX),,,On Schedule
04/04/2024,07:30,AI380,Air India,New Delhi (DEL),T2,,On Schedule
04/04/2024,07:30,SQ317,Singapore Airlines,London (Heathrow) (LHR),,,On Schedule
04/04/2024,07:30,SQ495,Singapore Airlines,Dubai (DXB),,,On Schedule
04/04/2024,07:40,SQ423,Singapore Airlines,Mumbai (BOM),,,On Schedule
04/04/2024,07:40,SQ51,Singapore Airlines,Houston (IAH),,,On Schedule
04/04/2024,07:40,TR457,Scoot,Kuala Lumpur (KUL),T1,,On Schedule
04/04/2024,07:50,AI342,Air India,Mumbai (BOM),T2,,On Schedule
04/04/2024,07:50,SQ37,Singapore Airlines,Los Angeles (LAX),,,Confirmed 07:39
04/04/2024,08:10,SQ951,Singapore Airlines,Jakarta (CGK),,,On Schedule
04/04/2024,08:15,AI392,Air India,Bengaluru (BLR),T2,,On Schedule
04/04/2024,08:15,EK405,Emirates,Melbourne (MEL),T1,,On Schedule
04/04/2024,08:15,TR579,Scoot,Chennai (MAA),T1,,On Schedule
04/04/2024,08:15,UK115,Vistara,New Delhi (DEL),T3,,On Schedule
04/04/2024,08:20,SQ537,Singapore Airlines,Kochi (COK),,,On Schedule
04/04/2024,08:20,TR721,Scoot,Berlin (BER),T1,,On Schedule
04/04/2024,08:30,AK703,AirAsia,Kuala Lumpur (KUL),T4,,On Schedule
04/04/2024,08:30,IX688,Air India Express,Chennai (MAA),T2,,On Schedule
04/04/2024,08:30,TR563,Scoot,Tiruchirappalli (TRZ),T1,,On Schedule
04/04/2024,08:45,AF182,Air France,Paris (CDG),T1,,On Schedule
04/04/2024,08:45,TK208,Turkish Airlines,Istanbul (IST),T1,,On Schedule
04/04/2024,08:50,EK404,Emirates,Dubai (DXB),T1,,On Schedule
04/04/2024,09:00,QR942,Qatar Airways,Doha (DOH),T1,,On Schedule
04/04/2024,09:15,UK105,Vistara,Mumbai (BOM),T3,,On Schedule
04/04/2024,09:20,OD801,Batik Air Malaysia,Kuala Lumpur (KUL),T3,,On Schedule
04/04/2024,09:25,5J813,Cebu Pacific Air,Manila (MNL),T4,,On Schedule
04/04/2024,09:25,QG522,Citilink,Jakarta (CGK),T3,,On Schedule
04/04/2024,09:30,FY3670,Firefly,Penang (PEN),T2,,On Schedule
04/04/2024,09:35,FD359,Thai AirAsia,Bangkok (Don Mueang) (DMK),T4,,On Schedule
04/04/2024,09:40,PR511,Philippine Airlines,Manila (MNL),T1,,Cancelled
04/04/2024,09:45,EY496,Etihad Airways,Abu Dhabi (AUH),T2,,On Schedule
