Date,Time,Flight Number,Airlines Name,Airport Name,Terminal,Boarding info,Status
04/04/2024,00:05,SQ225,Singapore Airlines,Perth (PER),T3,Check-In Row 3,Check Gate at 20:05
04/04/2024,00:10,SQ608,Singapore Airlines,Seoul (ICN),T2,Check-In Row 6,Check Gate at 20:10
04/04/2024,00:15,SQ336,Singapore Airlines,Paris (CDG),T3,Check-In Row 3,Check Gate at 20:15
04/04/2024,00:25,SQ237,Singapore Airlines,Melbourne (MEL),T3,Check-In Row 3,Check Gate at 20:25
04/04/2024,00:30,SQ328,Singapore Airlines,Munich (MUC),T3,Check-In Row 3,Check Gate at 20:30
04/04/2024,00:40,IX681,Air India Express,Tiruchirappalli (TRZ),T2,Check-In Row 9,Check Gate at 20:40
04/04/2024,00:40,KL836,KLM Royal Dutch Airlines,Amsterdam (AMS),T1,Check-In Row 2,Check Gate at 20:40
04/04/2024,00:40,ZG54,ZIPAIR,Tokyo (Narita) (NRT),T1,Check-In Row 14,Check Gate at 20:40
04/04/2024,00:45,SQ231,Singapore Airlines,Sydney (SYD),T3,Check-In Row 3,Check Gate at 20:45
04/04/2024,00:45,SQ255,Singapore Airlines,Brisbane (BNE),T3,Check-In Row 3,Check Gate at 20:45
04/04/2024,00:50,EK353,Emirates,Dubai (DXB),T1,Check-In Row 13,Check Gate at 20:50
04/04/2024,00:55,MU5032,China Eastern Airlines,Beijing (Daxing) (PKX),T3,Check-In Row 10,Check Gate at 20:55
04/04/2024,00:55,MU544,China Eastern Airlines,Shanghai (PVG),T3,Check-In Row 10,Check Gate at 20:55
04/04/2024,01:05,TR898,Scoot,Tokyo (Narita) (NRT),T1,Check-In Row 7,Check Gate at 21:05
04/04/2024,01:10,5J548,Cebu Pacific Air,Cebu (CEB),T4,Check-In Row 5,Check Gate at 21:10
04/04/2024,01:10,KE646,Korean Air,Seoul (ICN),T4,Check-In Row 5,Check Gate at 21:10
04/04/2024,01:10,SQ306,Singapore Airlines,London (Heathrow) (LHR),T3,Check-In Row 3,Check Gate at 21:10
04/04/2024,01:15,SQ826,Singapore Airlines,Shanghai (PVG),T3,Check-In Row 3,Check Gate at 21:15
04/04/2024,01:20,SQ656,Singapore Airlines,Fukuoka (FUK),T2,Check-In Row 6,Check Gate at 21:20
04/04/2024,01:20,SQ672,Singapore Airlines,Nagoya (NGO),T2,Check-In Row 6,Check Gate at 21:20
04/04/2024,01:25,SQ346,Singapore Airlines,Zurich (ZRH),T3,Check-In Row 3,Check Gate at 21:25
04/04/2024,01:25,SQ618,Singapore Airlines,Osaka (KIX),T2,Check-In Row 6,Check Gate at 21:25
04/04/2024,01:30,5J804,Cebu Pacific Air,Manila (MNL),T4,Check-In Row 5,Check Gate at 21:30
04/04/2024,01:30,SQ478,Singapore Airlines,Cape Town (CPT),T3,Check-In Row 3,Check Gate at 21:30
04/04/2024,01:30,TR116,Scoot,Zhengzhou (CGO),T1,Check-In Row 7,Check Gate at 21:30
04/04/2024,01:30,TR138,Scoot,Tianjin (TSN),T1,Check-In Row 7,Check Gate at 21:30
04/04/2024,01:45,CX714,Cathay Pacific,Hong Kong (HKG),T4,Check-In Row 6,Check Gate at 21:45
04/04/2024,01:45,TR186,Scoot,Qingdao (TAO),T1,Check-In Row 7,Check Gate at 21:45
04/04/2024,01:50,JL38,Japan Airlines,Tokyo (Haneda) (HND),T1,Check-In Row 1,Check Gate at 21:50
04/04/2024,02:00,3K791,Jetstar Asia,Okinawa (OKA),T4,Check-In Row 7,Check Gate at 22:00
04/04/2024,02:00,CI756,China Airlines,Taipei (TPE),T3,Check-In Row 11,Check Gate at 22:00
04/04/2024,02:00,TR396,Scoot,Manila (MNL),T1,Check-In Row 7,Check Gate at 22:00
04/04/2024,02:00,TR842,Scoot,Seoul (ICN),T1,Check-In Row 7,Check Gate at 22:00
04/04/2024,02:15,3K763,Jetstar Asia,Osaka (KIX),T4,Check-In Row 7,Check Gate at 22:15
04/04/2024,02:15,QR945,Qatar Airways,Doha (DOH),T1,Check-In Row 3,Check Gate at 22:15
04/04/2024,02:15,TW172,T'way Air,Seoul (ICN),T3,Check-In Row 8,Check Gate at 22:15
04/04/2024,02:25,SQ612,Singapore Airlines,Seoul (ICN),T2,Check-In Row 6,Check Gate at 22:25
04/04/2024,02:30,TR18,Scoot,Melbourne (MEL),T1,Check-In Row 7,Check Gate at 22:30
04/04/2024,02:35,SQ402,Singapore Airlines,New Delhi (DEL),T3,Check-In Row 3,Check Gate at 22:35
04/04/2024,02:45,6E1002,IndiGo,Chennai (MAA),T2,Check-In Row 2,Check Gate at 22:45
04/04/2024,02:50,TR156,Scoot,Shenyang (SHE),T1,Check-In Row 7,Check Gate at 22:50
04/04/2024,03:00,MU2670,China Eastern Airlines,Nanjing (NKG),T3,Check-In Row 10,Check Gate at 23:00
04/04/2024,03:55,CZ8490,China Southern Airlines,Guangzhou (CAN),T1,Check-In Row 3,Check Gate at 23:55
04/04/2024,04:15,6E1016,IndiGo,Kolkata (CCU),T2,Check-In Row 2,Check Gate at 00:15
04/04/2024,04:30,TK169,Turkish Airlines,Istanbul (IST),T1,Check-In Row 9,Check Gate at 00:30
